City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,Vilyuysk,63.7553,121.6247,32.9,98,100,4.94,RU,2021-04-25 19:40:44
273,Daru,-9.0763,143.2092,74.88,95,100,8.59,PG,2021-04-25 19:40:45
274,Port Huron,42.9709,-82.4249,50.0,57,1,18.41,US,2021-04-25 19:40:45
275,Maragogi,-9.0122,-35.2225,79.14,79,6,7.25,BR,2021-04-25 19:40:46
276,Talnakh,69.4865,88.3972,-2.22,95,82,2.35,RU,2021-04-25 19:40:46
277,Buraydah,26.326,43.975,87.8,27,75,12.66,SA,2021-04-25 19:38:20
278,Coquimbo,-29.9533,-71.3436,62.6,72,20,11.5,CL,2021-04-25 19:40:46
279,Narsaq,60.9167,-46.05,51.8,28,75,24.16,GL,2021-04-25 19:39:35
280,Kyaikto,17.3,97.0167,82.69,74,100,4.54,MM,2021-04-25 19:40:47
281,Samana,19.2056,-69.3369,89.6,62,20,13.8,DO,2021-04-25 19:40:47
282,Tezu,27.9167,96.1667,77.76,22,83,4.76,IN,2021-04-25 19:40:48
283,Manokwari,-0.8667,134.0833,78.58,82,100,11.12,ID,2021-04-25 19:40:48
284,Sao Miguel Do Araguaia,-13.275,-50.1628,87.1,57,27,1.25,BR,2021-04-25 19:40:48
285,Mafinga,-7.25,35.0667,67.1,86,90,2.15,TZ,2021-04-25 19:40:49
286,Tuktoyaktuk,69.4541,-133.0374,12.2,79,90,12.66,CA,2021-04-25 19:39:46
287,Chilliwack,49.1747,-121.9443,53.01,76,100,1.14,CA,2021-04-25 19:40:51
288,Arraial Do Cabo,-22.9661,-42.0278,80.6,69,0,8.05,BR,2021-04-25 19:36:21
289,Mattru,7.6244,-11.8332,81.48,76,97,4.0,SL,2021-04-25 19:40:52
290,Formosa,-26.1775,-58.1781,75.2,60,20,11.5,AR,2021-04-25 19:40:53
291,Zeya,53.75,127.2667,36.84,72,100,3.87,RU,2021-04-25 19:40:53
292,Dhidhdhoo,6.8833,73.1,83.93,72,16,5.3,MV,2021-04-25 19:40:54
